total_of_tweets,no_of_followers,no_of_followees,age_of_account,no_of_favorite,aver_favou_per_day,aver_tweets_per_day,user_name_len,is_post_at_hol,is_post_at_noon,is_post_at_eve,is_post_at_weekend,contain_location,contain_org,contain_tvshow,sentiment_level,contain video,contain picture,contain_upper,contain_number,contain_excl,con_user_mentioned,contain_url,contain_hashtag,opt_length,len_of_text,status_retweet
43343,1551,1785,1496,0,0.0,1.0,7,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,122,1
164982,10050,9967,3114,0,0.0,1.0,12,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,206,1
16775,10923,10567,532,0,0.0,1.0,9,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,145,1
55,2,337,81,0,0.0,1.0,9,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,302,1
35,0,12,761,0,0.0,1.0,15,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,132,0
96229,26422,1963,3720,0,0.0,1.0,11,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,159,0
24,1,34,77,0,0.0,1.0,13,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,145,0
23467,2290,1658,910,0,0.0,1.0,9,1,0,0,1,0,1,0,2,0,0,1,1,0,0,1,1,0,291,1
139074,457,1021,779,0,0.0,1.0,15,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,256,1
426,3,31,210,0,0.0,1.0,9,1,0,0,1,1,0,0,2,0,0,1,1,0,1,0,0,0,153,0
110515,11192,9613,1130,0,0.0,1.0,13,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,328,1
50206,79,99,674,0,0.0,1.0,15,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,286,1
23467,2290,1658,910,0,0.0,1.0,9,1,0,0,1,0,0,0,2,0,0,1,1,0,0,1,1,0,215,1
29278,72,145,168,0,0.0,1.0,11,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,214,0
23798,650,1413,5074,0,0.0,1.0,14,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,327,1
188438,1593,856,5003,0,0.0,1.0,6,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,135,1
25651,58,59,145,0,0.0,1.0,13,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,196,0
46178,1069,1176,1149,0,0.0,1.0,12,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,297,1
7,1,58,23,0,0.0,1.0,8,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,44,0
0,2,9,574,0,0.0,1.0,15,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,71,0
16391,449,371,4027,0,0.0,1.0,15,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,158,0
2012,16,78,3963,0,0.0,1.0,15,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,236,0
2012,16,78,3963,0,0.0,1.0,15,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,171,0
2012,16,78,3963,0,0.0,1.0,15,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,210,0
2012,16,78,3963,0,0.0,1.0,15,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,280,0
156727,18835,5133,4198,1,1.0,1.0,12,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,286,0
25809,67,105,150,0,0.0,1.0,15,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,202,0
1851,112,45,230,0,0.0,1.0,8,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,100,1
60840,487,451,1618,0,0.0,1.0,8,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,64,0
2584,13,177,2472,0,0.0,1.0,13,1,0,0,1,0,1,0,2,0,0,1,1,0,1,0,0,0,290,0
23753,1406,1389,351,0,0.0,1.0,6,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,320,1
24,0,5,40,0,0.0,1.0,15,1,0,0,1,1,1,0,2,0,0,1,1,0,0,1,0,0,296,1
218,395,2665,1676,0,0.0,1.0,7,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,289,1
13938,404,550,414,0,0.0,1.0,9,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,239,0
95,5,49,719,0,0.0,1.0,12,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,273,0
1130,26,90,1201,0,0.0,1.0,8,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,304,1
25809,67,105,150,0,0.0,1.0,15,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,188,0
330002,203993,36,2286,1,2.25,1.0,13,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,76,0
5535,366,472,1940,0,0.0,1.0,12,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,321,1
29351,319,175,923,0,0.375,1.0,13,1,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,122,1
2533,443,1608,531,0,0.0,1.0,11,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,261,0
5558,116,247,5094,0,0.0,1.0,13,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,326,1
1030,4,171,199,0,0.0,1.0,8,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,62,0
6965,1453,1417,4197,0,0.0,1.0,14,1,0,0,1,1,1,0,2,0,0,1,1,0,0,1,0,0,279,1
8766,536,370,665,0,0.0,1.0,10,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,114,0
270,33,18,108,0,0.0,1.0,10,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,262,0
3999,16679,10491,881,0,0.0,1.0,9,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,307,1
15617,124,202,1095,0,0.0,1.0,11,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,57,0
7873,34,61,193,0,0.0,1.0,15,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,97,0
51277,479,30,4881,0,0.0,1.0,11,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,140,1
3945,45,221,5122,0,0.0,1.0,9,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,33,0
1982329,2017033,39,5239,2,4.5,1.0,15,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,103,0
8339,159,700,3216,0,0.0,1.0,9,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,269,0
7,0,17,261,0,0.0,1.0,9,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,120,1
11943,107,222,3529,0,0.0,1.0,14,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,133,0
112,4,17,2251,0,0.0,1.0,10,1,0,0,1,1,1,0,2,0,0,1,1,0,1,0,0,0,236,0
437,42,14,117,0,0.0,2.0,10,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,297,0
437,42,14,117,0,0.0,2.0,10,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,303,0
679,23,177,109,0,0.0,1.0,11,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,221,0
296535,7471,7580,4971,0,0.0,1.0,7,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,154,1
4519,1447,1476,708,0,0.0,1.0,11,1,0,0,1,0,1,0,2,0,0,1,0,0,1,1,1,0,292,1
349012,33574,18622,1383,0,0.0,1.0,8,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,303,1
12542,390,406,2350,0,0.0,1.0,12,1,0,0,1,1,1,0,2,0,0,1,1,0,0,1,0,0,242,0
2012,16,78,3963,0,0.0,1.0,15,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,209,0
5260,550,569,196,0,0.0,1.0,11,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,87,0
405,17,373,4147,0,0.0,1.0,9,1,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,59,0
190,18,105,2294,0,0.0,1.0,10,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,299,1
62543,7137,7151,2776,0,0.0,1.0,8,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,301,1
1932,102,98,551,2,2.0,1.0,11,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,151,0
2633,17,94,196,0,0.0,1.0,12,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,133,0
2012,16,78,3963,0,0.0,1.0,15,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,186,0
4,1,18,347,0,0.0,1.0,6,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,98,0
7126,653,1170,2202,0,0.8,1.0,13,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,253,0
103931,7024,7333,1103,0,0.0,1.0,10,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,303,1
31260,1635,546,4846,0,0.0,1.0,6,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,272,1
4640,142,343,62,0,0.14285714285714285,1.0,15,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,115,0
55567,652,698,3575,0,0.0,1.0,8,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,228,0
28880,176,508,2836,0,0.0,1.0,7,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,275,0
